graph_id,vertices,edges,prim_cost,kruskal_cost,prim_time_ms,kruskal_time_ms,prim_ops,kruskal_ops
1,5,7,16,16,"0,25","0,22",80,53
2,4,5,6,6,"0,01","0,01",59,38
